"id","question","answer","date_added","next_appearance","tags"
"1","boast","brag","2024-05-15 10:08:14.862972","2024-05-18 12:10:22.108331","vocab"
"2","find command","find `-name|-iname`, `-type` f|d, `-size` +|-size, `-exec`, (`-and`, `-or`, `!`)","2024-05-15 12:55:46.517619","2024-05-18 12:10:25.740675","linux"
"3","pushover","a person who is easy to overcome or influence","2024-05-17 12:17:21.327270","2024-05-16 12:17:21.327270","vocab"
"4","talk through","discuss something thoroughly","2024-05-17 12:18:00.626479","2024-05-16 12:18:00.626479","vocab"
"5","retaliate","( fight | strike | hit ) back. make an attack in return for a similar attack","2024-05-17 12:19:09.517064","2024-05-16 12:19:09.517064","vocab"
"6","provoke","deliberately make someone angry or annoyed","2024-05-17 12:20:13.325973","2024-05-16 12:20:13.325973","vocab"
"7","hurl","throw | fling","2024-05-17 12:20:48.693637","2024-05-16 12:20:48.693637","vocab"
"8","fling","throw","2024-05-17 12:20:51.943404","2024-05-16 12:20:51.943404","vocab"
"9","ick","used to express disgust","2024-05-17 12:21:11.260128","2024-05-16 12:21:11.260128","vocab"
"10","aversion","a strong dislike","2024-05-17 12:21:40.382937","2024-05-16 12:21:40.382937","vocab"
